,0,0,0,0,0,0,0,0,0,0
F1-LOC,11.11,,39.25,36.26625,20.639999999999997,20.639999999999997,,20.639999999999997,,19.515714285714285
F1-MISC,66.19875,30.370000000000005,66.19875,66.19875,30.171111111111113,30.370000000000005,30.370000000000005,30.370000000000005,49.71874999999999,62.018888888888895
F1-O,96.297,95.64200000000001,96.49900000000001,96.43900000000001,95.51500000000001,96.14900000000003,95.628,96.05,96.15300000000002,96.42799999999997
F1-ORG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F1-PER,75.07666666666665,62.46888888888889,72.78888888888889,66.135,54.15599999999999,72.12666666666668,58.051,72.31222222222223,72.1811111111111,76.13222222222223
P-LOC,60.0,0.0,70.0,80.0,70.0,70.0,0.0,70.0,0.0,45.002
P-MISC,80.0,80.0,80.0,80.0,90.0,80.0,80.0,80.0,80.0,90.0
P-O,94.43900000000001,92.25999999999998,94.57000000000002,93.91299999999998,92.047,93.962,92.168,94.20700000000001,93.629,94.27299999999998
P-ORG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P-PER,72.31999999999998,74.588,69.795,86.52799999999999,82.245,74.708,86.297,68.66400000000002,75.076,75.801
R-LOC,3.528,0.0,17.118000000000002,17.951,8.056000000000001,8.056000000000001,0.0,8.056000000000001,0.0,8.056000000000001
R-MISC,40.444,14.337000000000003,40.444,40.444,16.004,14.337000000000003,14.337000000000003,14.337000000000003,26.673000000000002,42.111000000000004
R-O,98.314,99.30699999999999,98.591,99.16199999999999,99.273,98.52399999999999,99.37899999999999,98.04799999999999,98.869,98.741
R-ORG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R-PER,68.114,47.274000000000015,66.127,59.52,43.071000000000005,65.011,46.431999999999995,68.029,61.315,65.02700000000002
