,0,0,0,0,0,0,0,0,0,0
F1-ewo,65.862,71.71900000000001,62.447,67.95,68.153,63.653,69.44000000000001,69.429,69.16300000000001,65.902
F1-test,75.94,74.47500000000001,69.37777777777778,71.56099999999999,74.33555555555556,78.22777777777777,73.11999999999999,71.425,75.15299999999999,78.7911111111111
F1-train,77.38199999999999,85.013,75.00399999999999,81.64399999999998,82.314,76.195,83.45300000000002,83.216,81.189,77.95
P_ewo,77.794,77.50399999999999,81.772,79.095,76.41400000000002,70.90799999999999,74.58,78.702,78.71900000000001,76.275
P_test,71.095,78.90600000000002,76.04599999999999,82.612,67.26400000000001,71.71799999999999,80.893,83.80499999999999,85.075,70.551
P_train,85.244,86.801,90.59900000000002,89.15799999999999,86.70400000000001,84.091,86.203,87.55600000000001,87.33500000000001,86.049
R_ewo,60.18599999999999,67.406,54.259,60.926,63.702999999999996,61.295,66.945,63.148,64.72200000000001,61.75899999999999
R_test,66.828,73.605,58.19199999999999,70.03599999999999,67.989,70.807,72.36999999999999,67.525,75.553,72.71600000000001
R_train,74.328,83.852,68.276,76.69399999999999,80.095,74.58500000000001,82.01499999999999,80.126,79.023,75.363
