,0,0,0,0,0,0,0,0,0,0
F1-LOC,,,,,9.99,,,,,10.602857142857143
F1-MISC,27.04,26.66,25.708571428571425,26.66,48.7075,25.708571428571425,25.708571428571425,26.66,26.66,25.708571428571425
F1-O,94.29400000000001,93.81000000000002,95.37299999999999,93.91999999999999,95.50799999999997,94.89100000000002,94.30000000000001,94.22799999999998,94.375,94.52
F1-ORG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F1-PER,33.32,13.799999999999999,65.91125,17.80375,61.082222222222214,56.94125,37.31142857142857,30.666249999999998,40.75714285714286,39.51125
P-LOC,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,70.0
P-MISC,80.0,60.0,70.0,60.0,80.0,70.0,70.0,60.0,60.0,70.0
P-O,89.29599999999998,88.41499999999998,92.21400000000001,88.62,92.112,91.00500000000001,89.286,89.16,89.44200000000001,89.76199999999999
P-ORG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P-PER,75.80499999999999,59.42599999999999,67.286,72.33399999999999,77.85900000000001,66.079,66.21900000000001,75.553,65.831,75.644
R-LOC,0.0,0.0,0.0,0.0,3.1559999999999997,0.0,0.0,0.0,0.0,3.9249999999999994
R-MISC,12.560999999999998,9.228,10.339,9.228,26.409000000000002,10.339,10.339,9.228,9.228,10.339
R-O,99.89399999999999,99.91099999999999,98.85,99.89399999999999,99.21199999999999,99.15599999999999,99.91099999999999,99.91099999999999,99.89399999999999,99.829
R-ORG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R-PER,16.2,5.2589999999999995,51.690999999999995,7.9719999999999995,47.992999999999995,37.532000000000004,16.266999999999996,14.908999999999997,18.5,21.232
