,0,0,0,0,0,0,0,0,0,0
F1-LOC,57.61222222222222,53.694,40.45125,43.66666666666667,52.81111111111111,55.425000000000004,56.47,48.929,51.03888888888889,56.612500000000004
F1-MISC,48.1525,49.12,46.75,43.47444444444445,48.55555555555556,43.260000000000005,43.975555555555545,51.314,45.010000000000005,45.78333333333333
F1-O,96.865,97.06499999999998,96.62699999999998,96.981,96.905,96.655,96.76500000000001,97.02,96.966,96.81299999999999
F1-ORG,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33
F1-PER,71.564,77.49800000000002,70.225,75.277,74.53099999999999,69.771,75.816,75.33100000000002,75.824,72.101
P-LOC,76.056,84.60199999999999,70.453,85.667,75.14200000000001,63.864,75.36800000000001,85.439,74.84899999999999,71.192
P-MISC,52.701,60.346000000000004,53.336,58.89200000000001,55.001999999999995,51.669000000000004,48.253,66.86800000000001,64.44800000000001,58.89200000000001
P-O,95.646,96.39999999999999,95.02,95.76,96.05000000000001,95.83599999999998,96.319,95.981,96.172,95.84700000000001
P-ORG,7.5,2.5,10.0,5.0,12.5,12.5,7.5,5.0,7.5,12.5
P-PER,79.077,78.618,84.09600000000002,79.43199999999999,78.06499999999998,72.30799999999999,75.99,80.01100000000001,80.304,77.332
R-LOC,40.556,39.998999999999995,25.001,27.223000000000003,36.666999999999994,37.223,40.553999999999995,38.89,38.888999999999996,34.998000000000005
R-MISC,32.5,43.75,30.0,31.25,37.5,27.5,35.0,43.75,37.5,33.75
R-O,98.155,97.752,98.349,98.25200000000001,97.80600000000001,97.547,97.244,98.10000000000002,97.817,97.85
R-ORG,15.0,5.0,20.0,10.0,25.0,25.0,15.0,10.0,15.0,25.0
R-PER,68.5,77.5,64.125,72.75,73.375,71.0,77.375,71.875,74.5,71.5
