,0,0,0,0,0,0,0,0,0,0
F1-O,98.088,98.05000000000001,98.132,98.07600000000001,98.04100000000001,97.866,98.156,98.03,98.231,98.125
P-O,97.67100000000002,97.663,98.131,97.546,97.651,97.32399999999998,98.05200000000002,97.64500000000001,98.12800000000001,97.881
R-O,98.52400000000002,98.46700000000001,98.149,98.623,98.45599999999999,98.45600000000002,98.274,98.43999999999998,98.342,98.38399999999999
F1-MISC,73.673,78.41777777777776,76.274,73.81899999999999,75.53999999999999,78.24555555555555,75.33,78.55999999999999,77.624,77.56800000000001
P-MISC,94.25,87.5,91.261,96.52799999999999,93.889,87.639,90.102,83.523,88.301,91.301
R-MISC,63.539,59.562,67.12700000000001,62.198,65.44800000000001,59.721000000000004,68.627,63.062,71.647,69.175
F1-PER,88.39900000000002,87.719,88.952,88.45899999999999,88.1,85.78599999999999,89.17999999999998,88.04100000000001,89.76199999999999,88.59299999999999
P-PER,88.69199999999998,87.81199999999998,86.538,88.225,88.463,87.73499999999999,87.41799999999999,88.541,88.01599999999999,88.58099999999999
R-PER,88.39900000000002,88.491,92.00399999999999,89.01500000000001,88.269,85.44800000000001,91.51400000000001,88.111,91.723,89.032
F1-LOC,80.46444444444445,81.54444444444444,77.421,77.87777777777778,77.55000000000001,78.49444444444445,75.88,79.53666666666668,77.48800000000001,81.99222222222222
P-LOC,76.396,75.721,85.78,80.73300000000002,76.271,76.661,88.445,74.627,86.898,74.63
R-LOC,69.873,71.446,72.95500000000001,63.858999999999995,68.02400000000002,67.77000000000001,71.08500000000001,70.41400000000002,72.175,73.393
F1-ORG,53.336,58.33500000000001,50.0025,33.335,53.336,50.0025,50.0025,53.336,50.0025,53.336
P-ORG,20.0,20.0,15.0,5.0,20.0,15.0,15.0,20.0,15.0,20.0
R-ORG,40.0,30.0,30.0,10.0,40.0,30.0,30.0,40.0,30.0,40.0
