,0
0,0.570289134979248
1,0.48876190185546875
2,0.420243501663208
3,0.4788985252380371
4,0.4212315082550049
5,0.51772141456604
6,0.5103421211242676
7,0.5063426494598389
8,0.6013898849487305
9,0.4436757564544678
10,0.4546811580657959
11,0.4936485290527344
12,0.46886563301086426
13,0.4484400749206543
14,0.4611170291900635
15,0.44330763816833496
16,0.5024893283843994
17,0.3663926124572754
18,0.3527095317840576
19,0.3747670650482178
20,0.5584506988525391
21,0.4236931800842285
22,0.48727893829345703
23,0.6069822311401367
24,0.3561227321624756
25,0.5788171291351318
26,0.39798808097839355
27,0.4808919429779053
28,0.47005701065063477
29,0.3901636600494385
30,0.3606574535369873
31,0.37888169288635254
32,0.4543874263763428
33,0.5119061470031738
34,0.5916969776153564
35,0.480114221572876
36,0.4904508590698242
37,0.5425236225128174
38,0.41066884994506836
39,0.450664758682251
40,0.46285057067871094
41,0.5484836101531982
42,0.43281078338623047
43,0.5502443313598633
44,0.417919397354126
45,0.3887619972229004
46,0.43091845512390137
47,0.5847339630126953
48,0.4094851016998291
49,0.38128066062927246
