,0
0,0.5580925941467285
1,0.566932201385498
2,0.4826836585998535
3,0.7041149139404297
4,0.4347257614135742
5,0.4780542850494385
6,0.49225759506225586
7,0.5934405326843262
8,0.4831821918487549
9,0.5444555282592773
10,0.4321463108062744
11,0.5096139907836914
12,0.5102972984313965
13,0.5572309494018555
14,0.4734499454498291
15,0.45583319664001465
16,0.5880012512207031
17,0.6394171714782715
18,0.41829991340637207
19,0.46556782722473145
20,0.411165714263916
21,0.41483521461486816
22,0.481900691986084
23,0.4861016273498535
24,0.5018050670623779
25,0.4442291259765625
26,0.43839502334594727
27,0.3717684745788574
28,0.5380985736846924
29,0.4284672737121582
30,0.5083742141723633
31,0.458906888961792
32,0.4419221878051758
33,0.541245698928833
34,0.45166826248168945
35,0.5479145050048828
36,0.524075984954834
37,0.4299180507659912
38,0.47944045066833496
39,0.43230509757995605
40,0.42313361167907715
41,0.44582462310791016
42,0.49675631523132324
43,0.4238762855529785
44,0.43823766708374023
45,0.4566948413848877
46,0.44629812240600586
47,0.42589712142944336
48,0.44295358657836914
49,0.48236918449401855
